Acronym,Name,Location,Submission deadline,Start date,Topics
AEEES 2025,7th Asia Energy and Electrical Engineering Symposium,"Chengdu, China","Feb 28, 2025","Mar 28, 2025","['power generation', 'distribution', 'energy systems', 'electrical machines']"
ICCC 2025,12th IEEE International Conference on Computational Cybernetics and Cyber-Medical Systems,"Seychelles, Seychelles","Dec 1, 2024","Apr 9, 2025","['computer science', 'information technology', 'computational cybernetics', 'cyber medical systems']"
MESH - 2025,International Conference on Management Engineering Sciences & Humanities - 2025,"Bangkok, Thailand","Feb 28, 2025","Mar 23, 2025","['engineering and technologies', 'sciences and general studies', 'humanities and education']"
TRANSCODE 2025,The Science and Development of Transport,"Zagreb, Croatia","May 15, 2025","Dec 11, 2025","['transport', 'ict', 'its', 'logistics']"
ICCMIE-2025,"3rd International Conference on Civil, Mechanical and Industrial Engineering 2025","Solapur, India","Jan 31, 2025","Jun 25, 2025","['mechanical engineering', 'industrial engineering', 'civil engineering structural engineering']"
SM2024,"Smart Materials: Biomaterials, Coatings, Energy, Sensors and Structural Engineering","Jaipur, India","Aug 15, 2024",,"['smart materials', 'sustainable materials', 'shape memory materials', 'materials characterization']"
IOMTSS-2024,The Internet of Things in the Defence Industry: Challenges and Solutions for Military Security,"Lucknow And Hyderabad, India","Aug 30, 2024",,"['internet of things', 'internet of military things', 'defence industry', 'military security']"
IPEE 2025,2025 International Power and Electrical Engineering Conference,"Wuxi, China","Apr 30, 2025","Sep 12, 2025","['electronic materials', 'grid operation', 'market management', 'converter packaging']"
GraduaTEC2023,GraduaTEC,"Monterrey, Mexico",,,"['industrial engineering', 'bioengineering', 'environmental science', 'computational science']"
IJHFE 2025,International Journal of Human Factors and Ergonomics,Switzerland,,,"['ergonomics', 'usability of human technology interfaces', 'cognitive processing and information design', 'human factors']"
